Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Citing Patents Count,References,Citing Works Count,Is Open Access,Open Access License,Open Access Colour,bib_src
074-658-421-312-455,The Effect of COVID-19 on the Banking Sector,2020-07-28,2020.0,book chapter,Pandemic Risk Management in Operations and Finance,21911436; 21911444,Springer International Publishing,,Desheng Dash Wu; David L. Olson,"The COVID-19 pandemic has had a massive impact on the global economy. The impact COVID-19 has had on the Chinese banking sector consists of three aspects: short-term, long-term, and systemic risks. Support for differentiated financial services for pandemic prevention and control is needed, with increased credit support. Medium-to-small enterprises need to be supported through special credit lines, reduced interest rates on loans, deferred repayments, and establishment of long-term credit systems. Digital transformation needs to take place at a faster rate to improve intelligent risk control systems.",,,89,99,Digital transformation; Financial services; Business; Systemic risk; Interest rate; Control (management); Coronavirus disease 2019 (COVID-19); Banking sector; Financial system; Pandemic,,,,,https://link.springer.com/content/pdf/10.1007%2F978-3-030-52197-4_8.pdf https://link.springer.com/chapter/10.1007%2F978-3-030-52197-4_8,http://dx.doi.org/10.1007/978-3-030-52197-4_8,,10.1007/978-3-030-52197-4_8,3045592994,,0,,20,False,,,lens
190-279-143-371-062,Introducing a composite indicator of cyclical systemic risk in Croatia: possibilities and limitations,2023-03-06,2023.0,journal article,Public Sector Economics,24598860,Institute of Public Finance,,Tihana Skrinjaric,,47,1,1,39,Systemic risk; Composite number; Environmental science; Business; Economics; Materials science; Composite material; Macroeconomics; Financial crisis,,,,,,http://dx.doi.org/10.3326/pse.47.1.1,,10.3326/pse.47.1.1,,,0,,0,True,cc-by-nc,gold,lens
184-356-369-680-721,Systemic Loops and Liquidity Regulation,2015-11-01,2015.0,,Social Science Research Network,,,,Iñaki Aldasoro; Ester Faia,"Risk contagion in the banking sector occurs through interconnections on the asset side or through liquidity spirals affecting the liability side. We build a network model of optimizing banks featuring contagion on both sides of banks' balance sheets. To already existing asset side channels (liquidity hoarding, interbank exposures and fire sales of common assets) we add a critical liability side channel of contagion, namely bank runs triggered by information coordination akin to global games. The model is calibrated to the network of large European banks by a simulated method of moments approach and by using the real-world interbank matrix as a prior for the maximum entropy estimation of the model-based interbank matrix. We use the model to study the effects of phase-in increases of liquidity coverage ratios. Interestingly we find that the systemic risk profile of the system is not improved and might even deteriorate. Based on those insights we propose an alternative approach: differential (across banks) increases in coverage ratios based on systemic importance rankings help to mitigate the externalities and deliver a much more stable system.",,,,,Global game; Business; Systemic risk; Balance sheet; Market liquidity; Asset (economics); Liability; Monetary economics; Method of simulated moments; Bank run,,,,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2685675,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2685675,,,3121291029,,0,,1,False,,,lens
053-112-020-020-594,Testing for systemic risk using stock returns,,2015.0,,Research Papers in Economics,,,,Paul H. Kupiec,"Conditional value at risk (CoVaR) and marginal expected shortfall (MES) have been proposed as stock return based measures of the systemic risk created by individual financial institutions even though the literature provides no formal hypothesis test for detecting systemic risk. We address this shortcoming by constructing hypothesis test statistics for CoVaR and MES that can be used to detect systemic risk at the institution level. We apply our tests to daily stock returns data for over 3500 firms during 2006-2007. CoVaR (MES) tests identify almost 500 (1000) firms as systemically important. Both tests identify many more real-side firms than financial firms, and they often disagree about which firms are systemic. Analysis of the hypothesis tests' performance for plausible alternative hypotheses finds that return skewness can cause test rejections and, even when systemic risk imparts a strong signal in stock return distributions, hypothesis tests based on CoVaR and MES may fail to detect it. Our overall conclusion is that CoVaR and MES are not reliable measures of systemic risk.",,,,,Alternative hypothesis; Skewness; Systemic risk; Econometrics; Economics; Stock return; Expected shortfall; Stock (geology); Statistical hypothesis testing,,,,,https://ideas.repec.org/p/aei/rpaper/828488.html,https://ideas.repec.org/p/aei/rpaper/828488.html,,,3124689708,,0,,0,False,,,lens
133-272-916-037-930,PENGUKURAN RISIKO SISTEMIK INSTITUSI KEUANGAN DI INDONESIA DENGAN PENDEKATAN CAPITAL SHORTFALL,,2015.0,,,,,,Arief Karna Miharja; Irwan Adi Ekaputra,"This research measures systemic risk of financial institutions listed in Indonesia Stock Exchange on period of 2006 â€“ 2010, including financial crisis period in 2008, using capital shortfall method and SRISK risk measure. SRISK is capital shortage experienced by financial institution on condition of market return drop within a certain period. SRISK is a function of leverage, size, and Marginal Expected Shortfall (MES) of financial institution. MES is equity return drop of financial institution on condition of market return drop within a certain period. Research result shows that banking sub-sector is the highest contributor for systemic risk of financial sector",17,2,,,Business; Systemic risk; Stock exchange; Financial crisis; Financial institution; Risk measure; Expected shortfall; Financial system; Leverage (finance); Capital (economics),,,,,http://journal.perbanas.id/index.php/jkp/article/download/156/3,http://journal.perbanas.id/index.php/jkp/article/download/156/3,,,3160008831,,0,,0,False,,,lens
192-089-586-506-275,Macroprudential Due-Diligence Framework for Shadow Banking Entities,2020-08-04,2020.0,,Social Science Research Network,,,,Lukasz Prorokowski,"Addressing the need for greater transparency and control over the shadow banking system, this paper designs a macroprudential tool that serves to ensure greater financial stability through identifying and managing systemic risk posed by the shadow banking investment funds. In particular, the paper investigates potential crisis contagion channels within the shadow banking system by analysing the interconnectedness of the shadow banking investment funds and highlighting the links within the internal structures of the investment funds and securitisation vehicles, as well as external relationships with credit institutions. The paper proposes a due-diligence tool for monitoring and controlling the build-up of systemic risk posed by any shadow banking investment fund. This macroprudential tool serves as an early warning system against the growing systemic vulnerabilities of the shadow banking entities. Finally, the paper advises on efficient ways of sourcing, managing and reporting shadow banking data that ultimately address the issues of limited transparency of the shadow banking system.",,,,,Shadow (psychology); Business; Systemic risk; Investment (macroeconomics); Due diligence; Shadow banking system; Investment fund; Transparency (graphic); Financial system; Interconnectedness,,,,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3758754,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3758754,,,3135279226,,0,,0,False,,,lens
045-671-801-676-212,Understanding the shift from micro- to macro-prudential thinking: a discursive network analysis,2017-10-20,2017.0,journal article,Cambridge Journal of Economics,0309166x; 14643545,Oxford University Press (OUP),United Kingdom,Matthias Thiemann; Mohamed Aldegwy; Edin Ibrocevic,"Macro-prudential thinking and its emphasis on endogenously created systemic risks, marginal in the banking regulation discourse until the mid-2000s, has become central post-crisis. This paper analyzes this intellectual shift by using discourse and citation-network analysis of the most-cited scholarly works on banking regulation and systemic risk from 1985 to 2014 and six in-depth interviews with central scholars. It demonstrates that the predominance of formalism, particularly partial equilibrium analysis, in studies on banking regulation pre-crisis impeded economists’ engagement with the endogenous sources of systemic risks discussed in the systemic risk sample. These studies excluded observed phenomena that could not be accommodated in mathematical models, largely ignoring contributions based on historical and practitioners’ styles of reasoning. Post-crisis, while informal analyses gain prominence in studies on banking regulation, attempts to conceptualize systemic risk as a negative externality indicate the persistence of formalism and equilibrium thinking and its concomitant epistemological limitations that stymie theoretical progress.",42,4,935,962,Positive economics; Systemic risk; Externality; Economics; Partial equilibrium; Macro; Network analysis; Formalism (philosophy),,,,,https://hal.archives-ouvertes.fr/hal-02184169 https://www.econstor.eu/bitstream/10419/140894/1/859626644.pdf https://EconPapers.repec.org/RePEc:oup:cambje:v:42:y:2018:i:4:p:935-962. https://www.econstor.eu/handle/10419/140894 https://academic.oup.com/cje/article-abstract/42/4/935/4560163 https://ideas.repec.org/a/oup/cambje/v42y2018i4p935-962..html https://spire.sciencespo.fr/hdl:/2441/rge4hfmt86pbmv4gipepe2d5 https://dialnet.unirioja.es/servlet/articulo?codigo=6528920,http://dx.doi.org/10.1093/cje/bex056,,10.1093/cje/bex056,3125364330,,0,002-856-834-652-090; 003-348-741-765-69X; 004-046-716-332-895; 004-871-543-401-169; 007-336-870-969-813; 008-475-792-503-861; 014-373-309-507-628; 019-268-391-236-456; 022-217-531-534-702; 022-472-873-299-392; 024-351-190-580-451; 024-828-296-919-906; 025-821-732-006-228; 027-440-628-511-420; 027-455-184-951-485; 028-809-688-907-391; 029-652-108-487-444; 031-012-949-387-030; 035-881-168-146-12X; 040-531-566-689-139; 045-777-161-498-037; 049-854-002-812-457; 052-723-818-069-06X; 053-194-698-585-347; 056-101-149-468-029; 057-032-851-470-794; 058-412-058-866-559; 058-879-947-933-394; 061-873-175-167-992; 062-419-980-714-916; 065-327-126-170-308; 067-430-579-791-957; 069-078-077-310-036; 071-695-089-697-915; 074-000-738-244-955; 077-436-811-650-375; 077-880-737-976-959; 078-263-790-045-371; 079-867-019-052-934; 082-171-445-174-478; 087-053-648-444-575; 088-993-997-046-627; 090-436-724-624-372; 091-486-492-861-425; 092-345-458-821-750; 093-779-978-973-429; 095-037-640-171-955; 098-841-652-020-288; 101-214-978-945-09X; 101-526-808-390-08X; 105-656-624-695-293; 109-306-141-218-252; 112-117-632-281-526; 112-806-447-112-193; 115-912-228-451-249; 119-362-584-997-151; 123-314-615-927-745; 124-132-600-843-548; 124-465-896-432-486; 134-630-711-831-253; 137-236-023-469-311; 139-323-005-682-790; 142-084-600-389-807; 142-124-192-930-847; 147-432-235-680-435; 152-501-222-860-434; 164-394-966-792-440; 174-619-377-275-100; 180-429-125-381-046; 182-401-964-998-619; 183-376-861-980-736; 184-761-387-443-50X; 192-258-159-325-001; 197-129-658-402-674,12,True,,green,lens
035-271-160-374-103,Local and systemic risk factors influencing the long-term success of angular stable alloplastic reconstruction plates of the mandible.,2013-11-01,2013.0,journal article,Journal of cranio-maxillo-facial surgery : official publication of the European Association for Cranio-Maxillo-Facial Surgery,18784119; 10105182,Churchill Livingstone,United States,Peer W. Kämmerer; M. O. Klein; Maximilian Moergel; M. Gemmel; G. F. Draenert,"Introduction: After ablative surgery of the mandible, angular stable alloplastic reconstruction plates are commonly employed. The aim of the study was a long-term evaluation of local anatomical, as looking at systemic factors influencing specific complications and the failure rate of such plates. Materials and methods: In a retrospective study covering an 11-year period, we reviewed the outcomes of angular stable plates of patients who had a segmental resection of the mandible and subsequent alloplastic reconstruction. Complications and failure rates were assessed and local (anatomical size and localization of resection) as well as systemic risk factors (age, sex, radiation therapy, smoking) evaluated. Results: Altogether, 162 plates were reviewed. The overall complication rate was 28% (fractures n ¼ 8, loose screws n ¼ 7, dehiscences n ¼ 31) after an average time of 13 months. Cumulative survival rates of 73% after one, of 67% after 2, of 59% after 3 and of 40% after five years were observed. We found a significant correlation of increasing defect sizes to a rising complication and failure rate. Plate dehiscence occurred more often in defects including the midline (p ¼ 0.005). Though not statistically significant, the occurrence of plate fracture was associated with lateral mandibular defects (7/8, p ¼ 0.113). In smoking patients an earlier failure rate was seen. Conclusion: The results clearly indicate that the success of alloplastic reconstruction plates of the mandible is dependent on various risk factors. They should e if possible e be used temporarily only. If not done primarily, a secondary approach with bone reconstruction is recommended.",42,5,e271,6,Dehiscence; Surgery; Retrospective cohort study; Segmental resection; Mandible; Cumulative survival; Risk factor; Radiation therapy; Medicine; Complication,Angular stable; Complications; Localization; Reconstruction mandible; Reconstruction plate; Risk factor; Smoking; Success,"Age Factors; Aged; Biocompatible Materials/chemistry; Bone Plates/adverse effects; Bone Screws/adverse effects; Carcinoma, Squamous Cell/radiotherapy; Cohort Studies; Device Removal; Equipment Failure; Female; Follow-Up Studies; Humans; Longitudinal Studies; Male; Mandibular Neoplasms/radiotherapy; Mandibular Reconstruction/instrumentation; Middle Aged; Radiotherapy Dosage; Retrospective Studies; Risk Factors; Sex Factors; Smoking; Surgical Wound Dehiscence/etiology; Survival Analysis; Titanium/chemistry; Treatment Outcome",Biocompatible Materials; Titanium,,https://www.sciencedirect.com/science/article/pii/S1010518213002898 http://www.sciencedirect.com/science/article/pii/S1010518213002898,http://dx.doi.org/10.1016/j.jcms.2013.10.004,24296118,10.1016/j.jcms.2013.10.004,2052424523,,0,001-041-273-395-042; 003-424-735-139-07X; 008-680-926-965-010; 010-660-363-124-376; 011-020-052-009-97X; 016-471-458-233-247; 016-587-317-992-658; 018-747-056-984-475; 025-156-399-935-412; 025-303-007-639-241; 030-424-815-476-18X; 034-368-719-952-985; 036-710-053-857-466; 039-406-276-516-75X; 039-490-989-175-021; 042-505-874-393-827; 043-199-789-911-638; 049-425-444-325-888; 049-448-822-283-091; 051-038-970-519-860; 054-379-420-523-114; 057-705-158-090-818; 059-776-646-983-587; 064-316-531-888-989; 066-353-718-184-979; 070-323-330-069-074; 074-139-461-301-190; 075-709-545-390-299; 086-630-067-345-49X; 101-536-274-218-099; 104-601-712-865-171; 114-496-367-510-783; 124-186-487-769-035; 126-758-786-518-272; 126-856-817-448-545; 132-858-996-694-448; 135-743-191-481-786; 146-932-551-241-13X,30,False,,,lens
198-041-201-762-83X,Research of Systemic Risk Contagion in Payment System,,2014.0,journal article,Journal of Jilin University,,,,Wang Pen,"This paper studies the contagion risk in the payment system based on network model. Using current research result for reference,we describe the financial contagion through delay-differential equation and get the analytical solution with the help of renewal process. Then we analyze the contagion risk in different time-delay parameters based on the analytical solution. The results show that contagion risk significantly increases as time passed. Time-delay parameter also has a very strong effect on the contagion risk. Then we present related suggestions and policy implications which may improve the construction of China national automatic payment system and prudent macro-economic management both in theory and practice.",,,,,Renewal theory; Business; Systemic risk; Actuarial science; Payment system; Financial contagion; Contagion risk; Research result; Complex network,,,,,http://en.cnki.com.cn/Article_en/CJFDTotal-CCYD201405018.htm,http://en.cnki.com.cn/Article_en/CJFDTotal-CCYD201405018.htm,,,2373350430,,0,,0,False,,,lens
050-323-875-058-29X,The Extraterritorial Provisions of the Dodd-Frank Act Protects U.S. Taxpayers from Worldwide Bailouts,2012-03-27,2012.0,,Social Science Research Network,,,,Michael Greenberger,"The significant extraterritorial scope of the derivatives regulation within the Dodd-Frank Wall Street Reform and Consumer Protection Act promises to foster rigorous international standards for financial regulation that will restore transparency and stability to the global derivatives market. At present, that market exceeds $700 trillion notional value, or over ten times the world GDP. Despite opposition from Wall Street to the present extraterritorial application of almost all of Dodd-Frank’s derivatives regulation, the plain language of the statute requires implementing that regulation on an appropriate extraterritorial basis in order to protect U.S. taxpayers from bailing out financial institutions engaging in foreign derivatives trading, as was required of those taxpayers after the subprime credit meltdown of 2008. The unregulated nature of the global derivatives market exposes the world to continued systemic risk, especially in a time of worry about sovereign defaults and the defaults of banks that hold or a have insured through synthetic derivatives sovereign debt. Defaults of that nature are conceded by almost everyone as having the ability to trigger undercapitalized and non-transparent credit derivatives of the kind that compounded the 2008 subprime fiasco and that led to the U.S. taxpayers’ near-$13 trillion bailout of the financial industry. With worldwide economic stability at stake, tough, but appropriate, extraterritorial regulatory protections for the derivatives markets are needed instantaneously. This article shows that the extraterritorial reach of Dodd-Frank derivatives rules on capitalization, collateralization, and transparency will restore stability and integrity to the global derivatives market. To this end, the article is divided into five parts. First, the article demonstrates how Dodd-Frank aims to regulate derivatives trading so as to avoid, inter alia, the kind of systemic risk that presented itself in the wake of the subprime mortgage meltdown. Second, it establishes that Congress, pursuant to its constitutional authority, intended U.S. financial reforms to apply on extraterritorial basis so long as the United States has a vested relationship to the derivatives transactions in question. Third, the article discusses the current controversy caused by worldwide “Too Big to Fail” banks and the European Union surrounding the extraterritorial scope of Dodd-Frank-mandated reforms. Fourth, the article defends the extraterritorial application of Dodd-Frank regulations when a derivatives trade either involves a U.S. party or has the potential to substantially threaten the U.S. economy: it demonstrates that Congress has the constitutional authority to direct the extraterritorial application of U.S. derivatives regulations and that such an application aligns with U.S. regulators’ standard enforcement practices. Fifth, the article shows that the extraterritorial scope of Dodd-Frank regulation is necessary to protect U.S. taxpayers from the risks posed by the global derivatives market as it affects U.S. interests and that that scope will benefit U.S. banks and the U.S. economy by establishing a more stable derivatives market. For that matter, the extraterritorial application of Dodd-Frank derivatives standards will protect foreign taxpayers from further bailouts of defaulting and the world economy from systemically risky banking institutions.",,,,,Financial services; Business; Systemic risk; Credit crunch; International economics; Law and economics; Bailout; Too big to fail; European union; Financial regulation; Derivatives market,,,,,https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=2029063 https://www.michaelgreenberger.com/files/Greenberger_UMKC_Final.pdf https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2029063 https://digitalcommons.law.umaryland.edu/cgi/viewcontent.cgi?article=2183&context=fac_pubs https://digitalcommons.law.umaryland.edu/fac_pubs/1184/ https://works.bepress.com/michael_greenberger/47/,https://www.michaelgreenberger.com/files/Greenberger_UMKC_Final.pdf,,,1943728358,,0,,1,False,,,lens
067-473-687-011-962,"The Smoothing Hypothesis, Stock Returns and Risk in Brazil",,2011.0,journal article,BAR - Brazilian Administration Review,18077692,FapUNIFESP (SciELO),Brazil,Antonio Lopo Martinez; Miguel Angel Rivera Castro,"Abstract Income smoothing is defined as the deliberate normalization of income in order to reach a desired trend. If the smoothing causes more information to be reflected in the stock price, it is likely to improve the allocation of resources and can be a critical factor in investment decisions. This study aims to build metrics to determine the degree of smoothing in Brazilian public companies, to classify them as smoothing and non-smoothing companies and additionally to present evidence on the long-term relationship between the smoothing hypothesis and stock return and risk. Using the Economatica and CVM databases, this study focuses on 145 companies in the period 1998-2007. We find that Brazilian smoothers have a smaller degree of systemic risk than non-smoothers. In average terms, the beta of smoothers is significantly lower than non-smoothers. Regarding return, we find that the abnormal annualized returns of smoothers are significantly higher. We confirm differences in the groups by nonparametric and parametric tests in cross section or as time series, indicating that there is a statistically significant difference in performance in the Brazilian market between firms that do and do not engage in smoothing.",8,1,1,20,Nonparametric statistics; Statistics; Parametric statistics; Normalization (statistics); Systemic risk; Econometrics; Economics; Abnormal return; Investment decisions; Smoothing; Stock (geology),,,,,https://biblat.unam.mx/revista/bar-brazilian-administration-review/articulo/the-smoothing-hypothesis-stock-returns-and-risk-in-brazil http://www.fucape.br/_public/producao_cientifica/2/BAR%20-%20LOPO.pdf https://www.scielo.br/pdf/bar/v8n1/v8n1a02.pdf https://www.scielo.br/j/bar/a/sZj9NgDDRVTq5ThLv3dKqwh/ https://repositorio.ufba.br/ri/bitstream/ri/6941/1/Martinez%2c%20Antonio%20Lopo.pdf http://www.scielo.br/pdf/bar/v8n1/v8n1a02.pdf https://doaj.org/article/6ca1152853904a4ebba4ccc468b09eda http://www.redalyc.org/pdf/841/84117299002.pdf https://www.scielo.br/scielo.php?script=sci_abstract&pid=S1807-76922011000100002&lng=en http://www.anpad.org.br/periodicos/arq_pdf/a_1141.pdf https://repositorio.ufba.br/ri/handle/ri/6941,http://dx.doi.org/10.1590/s1807-76922011000100002,,10.1590/s1807-76922011000100002,2138926105,,0,004-421-423-088-560; 006-895-818-187-026; 009-443-551-689-626; 020-502-962-432-484; 027-623-644-176-687; 031-525-281-255-559; 031-858-883-254-516; 033-080-943-588-429; 038-648-434-244-098; 043-154-752-981-166; 059-180-615-900-411; 062-131-201-589-894; 062-296-456-489-84X; 072-312-389-580-415; 076-954-356-712-012; 077-370-903-550-41X; 086-214-124-418-85X; 087-408-884-039-600; 094-234-605-113-457; 112-597-883-734-185; 113-576-139-547-537; 124-357-432-740-175; 124-573-603-005-172; 137-496-516-373-378; 150-164-641-072-486; 153-874-361-178-636; 161-509-967-390-302,18,True,cc-by,gold,lens
052-817-979-669-186,Spillover dynamics for systemic risk measurement using spatial financial time series models,,2016.0,journal article,Journal of Econometrics,03044076,Elsevier BV,Netherlands,Francisco Blasques; Siem Jan Koopman; Andre Lucas; Julia Schaumburg,"We extend the well-known static spatial Durbin model by introducing a time-varying spatial dependence parameter. The updating steps for this model are functions of past data and have information theoretic optimality properties. The static parameters are conveniently estimated by maximum likelihood. We establish the theoretical properties of the model and show that the maximum likelihood estimators of the static parameters are consistent and asymptotically normal. Using spatial weights based on cross-border lending data and European sovereign CDS spread data over the period 2009–2014, we find evidence of contagion in terms of high, time-varying spatial spillovers in the perceived credit riskiness of European sovereigns during the sovereign debt crisis. We find a particular downturn in spatial dependence in the second half of 2012 after the outright monetary transactions policy measures taken by the European Central Bank. Earlier non-standard monetary operations by the ECB did not induce such changes. The findings are robust to a wide range of alternative model specifications.",195,2,211,223,Spatial dependence; Systemic risk; Econometrics; Spatial correlation; Economics; Estimator; Range (statistics); Outright Monetary Transactions; European debt crisis; Spillover effect,,,,"Dutch Science Foundation; Dutch Science Foundation; CREATES, Center for Research in Econometric Analysis of Time Series; Danish National Research Foundation; Deutsche Forschungsgemeinschaft",https://personal.vu.nl/f.blasques/Paper_Blasques2014i.pdf http://www.sciencedirect.com/science/article/pii/S0304407616301609 https://econpapers.repec.org/RePEc:eee:econom:v:195:y:2016:i:2:p:211-223 https://research.vu.nl/en/publications/spillover-dynamics-for-systemic-risk-measurement-using-spatial-fi-2 https://www.econstor.eu/handle/10419/100632 https://www.narcis.nl/publication/RecordID/oai%3Aresearch.vu.nl%3Apublications%2F5855af06-b503-40aa-80f4-7c107eb1e5a9 http://syrtoproject.eu/wp-content/uploads/2014/09/16_VU3.pdf https://core.ac.uk/display/91302171 https://pubag.nal.usda.gov/catalog/6069841 https://www.econstor.eu/bitstream/10419/100632/1/VfS_2014_pid_116.pdf https://www.sciencedirect.com/science/article/pii/S0304407616301609 https://www.efmaefm.org/0EFMAMEETINGS/EFMA%20ANNUAL%20MEETINGS/2015-Amsterdam/papers/EFMA2015_0081_fullpaper.pdf https://ideas.repec.org/a/eee/econom/v195y2016i2p211-223.html,http://dx.doi.org/10.1016/j.jeconom.2016.09.001,,10.1016/j.jeconom.2016.09.001,1504714231,,0,000-846-266-307-085; 005-823-872-709-666; 009-143-928-419-745; 009-276-462-339-100; 009-694-847-841-304; 013-757-163-104-477; 017-953-249-253-813; 019-036-413-941-920; 019-409-446-864-748; 019-448-108-280-813; 020-664-266-084-369; 022-293-508-798-405; 022-933-702-799-826; 025-235-502-754-106; 026-788-430-544-877; 029-151-104-447-300; 031-096-331-577-693; 032-968-380-994-356; 033-713-691-341-936; 036-161-648-070-276; 036-625-720-190-217; 038-322-273-092-993; 038-472-900-446-513; 038-731-486-833-190; 040-081-569-209-027; 046-352-365-586-832; 048-734-565-894-481; 048-792-640-129-401; 048-983-676-176-009; 056-985-882-225-018; 058-367-126-984-62X; 060-447-249-238-610; 060-672-684-039-043; 063-516-700-620-458; 065-623-597-634-136; 065-876-682-872-871; 073-043-073-183-310; 075-312-298-223-69X; 076-322-000-947-632; 078-597-394-303-885; 078-670-984-804-40X; 088-665-707-744-409; 089-710-411-174-984; 098-877-678-400-427; 099-210-447-920-063; 103-283-401-509-068; 103-618-688-410-031; 106-282-259-271-478; 111-535-186-124-744; 112-122-721-008-077; 116-697-524-295-049; 120-467-169-774-758; 126-614-461-456-808; 132-279-845-775-295; 138-251-461-103-047; 171-941-231-384-263; 174-619-918-038-715; 190-032-990-340-879,76,True,,green,lens
045-405-204-369-941,Asymmetries in Short Selling of Exchange-Traded Funds and the Potential for Systemic Risk,,2012.0,journal article,CFA Digest,00469777; 19383320,CFA Institute,,Claire Emory,,42,3,146,148,Business; Systemic risk; Financial system,,,,,http://www.cfapubs.org/doi/full/10.2469/dig.v42.n3.38,http://dx.doi.org/10.2469/dig.v42.n3.38,,10.2469/dig.v42.n3.38,2330336582,,0,,0,False,,,lens
017-880-023-207-326,The Euro area's macroeconomic balancing act,2011-05-01,2011.0,,Research Papers in Economics,,,,Guntram B. Wolff,"The European Systemic Risk Board (ESRB) and the proposed prevention and correction of macroeconomic imbalances regulation (EIP) are designed to avoid imbalances. However, these instruments overlap, and need clarification.Both the ESRB and the Commission, which is given certain powers by the EIP, must identify and act early on risks. Acting in the face of strong economic and political pressure is difficult. Complementing the current approach with transparent and rules-based mechanisms will reduce this problem.The EIP and ESRB can complement each other in terms of analysis and policy, and close collaboration will be vital. The EIP regulation can be used to ensure that ESRB recommendations are followed up. In the area of financial recommendations relevent to macroeconomic imbalances, the Commission should have a more formal requirement to act on ESRB recommendations. The EIP regulation would benefit from a clause allowing recommendations to be addressed not only to member states.Conflicts between the ESRB and Commission could arise. In this case, the Treaty requires the Commission to issue a recommendation even if the ESRB issues a negative finding.Legally, it might not be possible to exclude the use by the Commission of confidential information obtained in the ESRB.",,,,,Finance; Business; Systemic risk; Commission; Treaty; Confidentiality,,,,,https://EconPapers.repec.org/RePEc:bre:polcon:555,https://EconPapers.repec.org/RePEc:bre:polcon:555,,,3121285743,,0,,0,False,,,lens
083-592-012-062-018,"Introduction: Methodology, systemic risk, and the economics profession",,2013.0,journal article,Journal of Economic Methodology,1350178x; 14699427,Informa UK Limited,United Kingdom,John B. Davis; Wade Hands,"An introduction is presented in which the editors discuss various reports                 within the issue on topics including the use of three modeling techniques on the                 division of cognitive labor by Michael Weisberg, herding in science by Michael                 Strevens, and herding in economic science by Michelle Baddeley",20,1,1,5,Public economics; Positive economics; Philosophy and economics; Energy economics; Systemic risk; Applied economics; Economics; Economic methodology; Economics education; Scientific method,,,,,https://philpapers.org/rec/DAVIMS http://epublications.marquette.edu/econ_fac/215/ https://www.tandfonline.com/doi/abs/10.1080/1350178X.2013.774842 https://philarchive.org/rec/DAVIMS https://ideas.repec.org/a/taf/jecmet/v20y2013i1p1-5.html https://soundideas.pugetsound.edu/faculty_pubs/2660/,http://dx.doi.org/10.1080/1350178x.2013.774842,,10.1080/1350178x.2013.774842,2037728607,,0,003-209-382-302-334; 009-163-952-791-238; 031-927-181-782-548; 032-591-779-792-53X; 035-638-221-200-886; 035-845-644-287-137; 042-596-309-369-177; 053-900-508-094-017; 064-878-640-987-438; 128-463-231-878-914; 150-024-609-762-554; 163-095-505-899-505,1,False,,,lens
