Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID,bib_src
"Yan X., Yang H., Hou C., Zhang S., Zhu P.",57225993142;56997829300;57463734200;55713764600;56116029500;,Portfolio optimization by price-To-earnings ratio network analysis,2022,International Journal of Modern Physics B,36,19,501077,,,,1.0,10.1142/S0217979222501077,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131864747&doi=10.1142%2fS0217979222501077&partnerID=40&md5=1f87ed539bc05432f6c51054afcbba55,"Department of Statistics and Finance, School of Management, Centre for Financial Security Studies, International Institute of Finance, University of Science and Technology of China, Hefei, Anhui, China; School of Finance, Shanghai University of Finance and Economics, Shanghai, China; School of Computer Science, Northwestern Polytechnical University, Xi'an, China","Yan, X., Department of Statistics and Finance, School of Management, Centre for Financial Security Studies, International Institute of Finance, University of Science and Technology of China, Hefei, Anhui, China; Yang, H., Department of Statistics and Finance, School of Management, Centre for Financial Security Studies, International Institute of Finance, University of Science and Technology of China, Hefei, Anhui, China; Hou, C., School of Finance, Shanghai University of Finance and Economics, Shanghai, China; Zhang, S., Department of Statistics and Finance, School of Management, Centre for Financial Security Studies, International Institute of Finance, University of Science and Technology of China, Hefei, Anhui, China; Zhu, P., School of Computer Science, Northwestern Polytechnical University, Xi'an, China","This paper introduces Price-To-Earnings Ratio Network (PEN) analysis as an alternative to mean-variance analysis for portfolio optimization. The equivalence among Price-To-Earnings (P/E) ratios, node degree distribution and capital allocation distribution is established with a Havel-Hakimi network structure. Such equivalences allow network entropy to be a measure of portfolio diversification and robustness. Our empirical analysis finds a linear correlation between in-sample network entropy and out-of-sample portfolio returns. Then, a return-entropy efficient frontier is introduced to interpret the return-diversification trade-offs. Further, we compare the out-of-sample performance of portfolios optimized with PEN analysis against those optimized with mean-variance analysis, showing that PEN-optimized portfolios outperform mean-variance efficient portfolios in returns, given a low-To-medium P/E ratio level. This outcome accords with the P/E effect that stocks with low P/E ratios are undervalued and will provide increased returns in the future. In addition, regarding global financial risk events such as the financial crisis in 2008, the Euro debt crisis in 2013 and Brexit in 2016, this study finds that the PEN-optimized portfolio size increased significantly (even to more than 300 stocks) to mitigate systemic risk, while mean-variance efficient portfolios were not sufficiently diversified. © 2022 World Scientific Publishing Company.",diversification; entropy; Havel-Hakimi network; portfolio optimization; Price-earnings ratio,,"Yang, H.; Department of Statistics and Finance, Hefei, China; email: yhc0147@ustc.edu.cn",,World Scientific,02179792,,IJPBE,,English,Int. J. Mod. Phys. B,Article,Final,,Scopus,2-s2.0-85131864747,scopus
"Fan H., Pan H.",35298792200;57218115712;,The Effect of Shadow Banking on the Systemic Risk in a Dynamic Complex Interbank Network System,2020,Complexity,2020,,3951892,,,,3.0,10.1155/2020/3951892,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087935654&doi=10.1155%2f2020%2f3951892&partnerID=40&md5=5cb0123609774455f53fc830cdc105f1,"Glorious Sun School of Business and Management, Donghua University, Shanghai, 200051, China","Fan, H., Glorious Sun School of Business and Management, Donghua University, Shanghai, 200051, China; Pan, H., Glorious Sun School of Business and Management, Donghua University, Shanghai, 200051, China","After the financial crisis triggered by the subprime mortgage crisis in the United States in 2008, many scholars believed that the unstable transmission of shadow banking business in the banking system is the main factor causing financial turmoil. This paper proposes a dynamic complex interbank network system model with shadow banking in which the dynamic complex interbank network system differs from the traditional banking network and is formed by the interrelated business between shadow banks and commercial banks to explore the effect of shadow banking on the systemic risk. The results show that the existence of shadow banking will increase the systemic risk, accelerate the speed of bankruptcy of banks, reduce the survival ratio of banks, and increase the strength of central bank assistance. The smaller the number of shadow banks in the system, the higher the degree of credit connection among commercial banks and the smaller the systemic risk. © 2020 Hong Fan and Hongjie Pan.",,Banking; Banking systems; Central bank; Commercial bank; Financial crisis; Network systems; Subprime mortgage crisis; Survival ratio; Systemic risks; Complex networks,"Fan, H.; Glorious Sun School of Business and Management, China; email: hongfan@dhu.edu.cn",,Hindawi Limited,10762787,,,,English,Complexity,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85087935654,scopus
"Wang M.T.M., Vidal-Rohr M., Muntz A., Diprose W.K., Ormonde S.E., Wolffsohn J.S., Craig J.P.",56698973200;57195671779;56471745100;57214805164;6602368518;55948290800;7401926044;,Systemic risk factors of dry eye disease subtypes: A New Zealand cross-sectional study,2020,Ocular Surface,18,3,,374,380,,20.0,10.1016/j.jtos.2020.04.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083794720&doi=10.1016%2fj.jtos.2020.04.003&partnerID=40&md5=2d1582739d4590d0c35250f5e5fc569e,"Department of Ophthalmology, New Zealand National Eye Centre, The University of Auckland, New Zealand; Optometry and Vision Science Research Group, School of Life and Health Sciences, Aston University, Birmingham, United Kingdom; Department of Neurology, Auckland City Hospital, Auckland, New Zealand","Wang, M.T.M., Department of Ophthalmology, New Zealand National Eye Centre, The University of Auckland, New Zealand; Vidal-Rohr, M., Optometry and Vision Science Research Group, School of Life and Health Sciences, Aston University, Birmingham, United Kingdom; Muntz, A., Department of Ophthalmology, New Zealand National Eye Centre, The University of Auckland, New Zealand; Diprose, W.K., Department of Neurology, Auckland City Hospital, Auckland, New Zealand; Ormonde, S.E., Department of Ophthalmology, New Zealand National Eye Centre, The University of Auckland, New Zealand; Wolffsohn, J.S., Optometry and Vision Science Research Group, School of Life and Health Sciences, Aston University, Birmingham, United Kingdom; Craig, J.P., Department of Ophthalmology, New Zealand National Eye Centre, The University of Auckland, New Zealand, Optometry and Vision Science Research Group, School of Life and Health Sciences, Aston University, Birmingham, United Kingdom","Purpose: To evaluate systemic risk factors of dry eye disease, aqueous tear deficiency, and meibomian gland dysfunction. Methods: Three hundred and seventy-two community residents (222 females, 150 males; mean ± SD age, 39 ± 22 years) were recruited in a cross-sectional study. Past medical history, dry eye symptomology, ocular surface characteristics, and tear film quality were evaluated for each participant within a single clinical session. The diagnosis of dry eye disease, aqueous tear deficiency, and meibomian gland dysfunction were based on the global consensus recommendations of the Tear Film and Ocular Surface Society's Dry Eye Workshop II (TFOS DEWS II) and International Workshop on Meibomian Gland Dysfunction. Results: Overall, 109 (29%) participants fulfilled the TFOS DEWS II criteria for dry eye disease, 42 (11%) had aqueous tear deficiency, and 95 (26%) had meibomian gland dysfunction. Multivariate logistic regression analysis demonstrated that systemic rheumatologic disease and antidepressant medication were independently associated with aqueous tear deficiency (both p < 0.05). Significant risk factors for meibomian gland dysfunction included age, East Asian ethnicity, migraine headaches, thyroid disease, and oral contraceptive therapy (all p ≤ 0.01). Conclusions: Both etiological subtypes of dry eye disease were associated with a number of systemic risk factors. These findings would support routine systemic inquiry of dry eye disease and associated systemic conditions and medications, in order to facilitate opportunistic screening and timely inter-disciplinary referral where necessary. © 2020",Dry eye; Epidemiology; Lacrimal gland; Meibomian gland; Ocular surface; Risk factor; Tear film,antidepressant agent; oral contraceptive agent; adult; aged; aqueous tear deficiency; Article; clinical assessment; consensus; controlled study; cross-sectional study; depression; dry eye; ethnicity; eye disease assessment; female; headache; human; international workshop on meibomian gland dysfunction; major clinical study; male; meibomian gland dysfunction; migraine; New Zealand; psychopharmacotherapy; rheumatic disease; risk factor; systemic disease; tear film; tear film and ocular surface society dry eye workshop ii; thyroid disease; adolescent; dry eye; lacrimal fluid; meibomian gland; middle aged; risk factor; young adult; Adolescent; Adult; Cross-Sectional Studies; Dry Eye Syndromes; Female; Humans; Male; Meibomian Glands; Middle Aged; New Zealand; Risk Factors; Tears; Young Adult,"Craig, J.P.Private Bag 92019, New Zealand; email: jp.craig@auckland.ac.nz",,Elsevier Inc.,15420124,,,32311433.0,English,Ocul. Surf.,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85083794720,scopus
"Mahalingam K., Angmo D., Neupane S., Azad S.",57190687931;54786189000;57217200292;23990017800;,Suprachoroidal hemorrhage postintracameral bevacizumab injection: An unusual case report and review of literature,2022,Oman Journal of Ophthalmology,15,3,,376,378,,,10.4103/ojo.ojo_256_21,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142616107&doi=10.4103%2fojo.ojo_256_21&partnerID=40&md5=e326dee4ab4c424edc0717454188206e,"Dr. Rajendra Prasad Centre for Ophthalmic Sciences, All India Institute of Medical Sciences, New Delhi, India","Mahalingam, K., Dr. Rajendra Prasad Centre for Ophthalmic Sciences, All India Institute of Medical Sciences, New Delhi, India; Angmo, D., Dr. Rajendra Prasad Centre for Ophthalmic Sciences, All India Institute of Medical Sciences, New Delhi, India; Neupane, S., Dr. Rajendra Prasad Centre for Ophthalmic Sciences, All India Institute of Medical Sciences, New Delhi, India; Azad, S., Dr. Rajendra Prasad Centre for Ophthalmic Sciences, All India Institute of Medical Sciences, New Delhi, India","Suprachoroidal hemorrhage (SCH) is a dreaded complication of intraocular surgery. We report a case of a 65-year-old male with left eye primary angle-closure glaucoma and idiopathic elevated episcleral venous pressure with neovascularization of the iris. Due to uncontrolled intraocular pressure even after maximum medical therapy, trabeculectomy with mitomycin C was planned. Preoperative intracameral bevacizumab was given to avoid intraoperative bleeding. Postinjection, localized SCH was noted, which settled spontaneously on conservative management. A combination of ocular and systemic risk factors, such as arteriosclerosis and idiopathic elevated episcleral venous pressure accentuated by intraoperative hypotony during intracameral injection, led to SCH. There are no previous reports of a localized SCH following intracameral bevacizumab. © 2022 Authors. All rights reserved.",Hemorrhagic choroidal detachment; intracameral bevacizumab; suprachoroidal hemorrhage,bevacizumab; cycloplegic agent; steroid; afferent pupillary defect; aged; anterior eye chamber; B scan; best corrected visual acuity; bleeding; branch retinal vein occlusion; case report; choroid disease; clinical article; closed angle glaucoma; conservative treatment; cup-to-disc ratio; Doppler ultrasonography; fluorescence angiography; gonioscopy; hand movement; human; intraocular pressure; iris; lipid fingerprinting; male; neovascularization (pathology); ophthalmoscopy; preoperative treatment; Review; right common carotid artery; slit lamp microscopy; suprachoroidal hemorrhage; suprachoroidal hemorrhage; trabeculectomy; venous pressure,"Angmo, D.; Dr. Rajendra Prasad Centre for Ophthalmic Sciences, Room 374, India; email: dewang45@gmail.com",,Wolters Kluwer Medknow Publications,0974620X,,,,English,Oman J. Ophthalmol.,Review,Final,,Scopus,2-s2.0-85142616107,scopus
"Martinez-Jaramillo S., Carmona C.U., Kenett D.Y.",26027087000;57198513001;35275313400;,Interconnectedness and financial stability,2019,Journal of Risk Management in Financial Institutions,12,2,,168,183,,7.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064153591&partnerID=40&md5=113ead177e9cebe64ea65973eaf26284,"Centro de Estudios Monetarios Latinoamericanos, Durango 54, Colonia Roma Norte, Delegación Cuauhtémoc, Ciudad de México, C.P. 06700, Mexico; Banco de Mexico, Avenida 5 de Mayo 2, Colonia Centro, Delegación Cuauhtémoc, Ciudad de México, 06000, Mexico; Department of Statistics, University of Oxford, 24–29 St Giles’, Oxford, OX1 3LB, United Kingdom; Johns Hopkins University, 1717 Massachusetts Ave., Washington, DC, 20036, United States; The London School of Economics and Political Science, Systemic Risk Centre, Houghton Street, London, WC2A 2AE, United Kingdom","Martinez-Jaramillo, S., Centro de Estudios Monetarios Latinoamericanos, Durango 54, Colonia Roma Norte, Delegación Cuauhtémoc, Ciudad de México, C.P. 06700, Mexico, Banco de Mexico, Avenida 5 de Mayo 2, Colonia Centro, Delegación Cuauhtémoc, Ciudad de México, 06000, Mexico; Carmona, C.U., Department of Statistics, University of Oxford, 24–29 St Giles’, Oxford, OX1 3LB, United Kingdom; Kenett, D.Y., Johns Hopkins University, 1717 Massachusetts Ave., Washington, DC, 20036, United States, The London School of Economics and Political Science, Systemic Risk Centre, Houghton Street, London, WC2A 2AE, United Kingdom","The 2007–2008 global financial crisis has been associated with a high level of connectivity in the global financial system. The crisis, and the following events of the past decade, have highlighted the relevance of the concept of interconnectedness to understanding systemic risk, transmission of financial contagion and ultimately on the subject of financial stability. Nevertheless, the more general relationship, across its full spectrum, between interconnectedness and financial stability, is still not fully studied and understood. This paper reviews the positive aspects as well as the negative aspects of interconnectedness. It also discusses briefly the important question of the optimal level of connectivity in a financial system. Finally, the paper proposes the use of novel statistical inferential methods for complex networks to address comprehensively the study of interconnectedness in financial systems. © Henry Stewart Publications.",Financial stability; Interconnectedness; Statistical network models,,"Martinez-Jaramillo, S.; Centro de Estudios Monetarios Latinoamericanos, Durango 54, Colonia Roma Norte, Delegación Cuauhtémoc, Mexico; email: smartin@banxico.org.mx",,Henry Stewart Publications,17528887,,,,English,J. Risk Mang. Financial Inst.,Article,Final,,Scopus,2-s2.0-85064153591,scopus
"Birge J.R., Capponi A., Chen P.-C.",7005600806;8346937300;56783299500;,Disruption and Rerouting in Supply Chain Networks,2023,Operations Research,71,2,,750,767,,,10.1287/opre.2022.2409,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152108920&doi=10.1287%2fopre.2022.2409&partnerID=40&md5=cdc878dfd310ce0c669883b3d85edf9a,"Booth School of Business, University of Chicago, Chicago, IL  60637, United States; Industrial Engineering and Operations Research Department, Columbia University, New York, NY  10027, United States; Department of Industrial and Manufacturing Systems Engineering, The University of Hong Kong, Pokfulam, Hong Kong","Birge, J.R., Booth School of Business, University of Chicago, Chicago, IL  60637, United States; Capponi, A., Industrial Engineering and Operations Research Department, Columbia University, New York, NY  10027, United States; Chen, P.-C., Department of Industrial and Manufacturing Systems Engineering, The University of Hong Kong, Pokfulam, Hong Kong","We study systemic risk in a supply chain network where firms are connected through purchase orders. Firms can be hit by cost or demand shocks, which can cause defaults. These shocks propagate through the supply chain network via input-output linkages between buyers and suppliers. Firms endogenously take contingency plans to mitigate the impact generated from disruptions. We show that, as long as firms have large initial equity buffers, network fragility is low if both buyer diversification and supplier diversification are low. We find that a single-sourcing strategy is beneficial for a firm only if the default probability of the firm’s supplier is low. Otherwise, a multiple-sourcing strategy is ex post more cost effective for a firm. © 2022 INFORMS.",contingent rerouting; disruption risk; secondary markets; supply chain networks; systemic risk,Purchasing; Sales; Supply chains; Contingent rerouting; Cost shocks; Demand shocks; Disruption risk; Input-output; Purchase orders; Secondary market; Sourcing strategies; Supply chain network; Systemic risks; Cost effectiveness,"Capponi, A.; Industrial Engineering and Operations Research Department, United States; email: ac3827@columbia.edu",,INFORMS Inst.for Operations Res.and the Management Sciences,0030364X,,OPREA,,English,Oper Res,Article,Final,,Scopus,2-s2.0-85152108920,scopus
"Guryanova L., Bogachkova L., Zyma O., Novosel M., Poluektova N., Gvozdytskyi V.",36068855600;56906922800;57202886856;57220181178;56809272400;57219244786;,Models of Estimation and Analysis of a Systemic Risk in the Banking Sector,2020,"2020 IEEE 2nd International Conference on System Analysis and Intelligent Computing, SAIC 2020",,,9239193,,,,,10.1109/SAIC51296.2020.9239193,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097157989&doi=10.1109%2fSAIC51296.2020.9239193&partnerID=40&md5=db94fae078f3f24529241373bb08c6f9,"S. Kuznets Kharkiv National University of Economics, Economic Cybernetics Department, Kharkiv, Ukraine; Volgograd State University, Regional Economics and Management School, Volgograd, Russian Federation; S. Kuznets Kharkiv National University of Economics, Department of Tourism, Kharkiv, Ukraine; V.I. Vernadsky Crimean Federal University, Academy of Bioresources and Nature Management, Department of System Analysis and Informatization, Simferopol, Russian Federation","Guryanova, L., S. Kuznets Kharkiv National University of Economics, Economic Cybernetics Department, Kharkiv, Ukraine; Bogachkova, L., Volgograd State University, Regional Economics and Management School, Volgograd, Russian Federation; Zyma, O., S. Kuznets Kharkiv National University of Economics, Department of Tourism, Kharkiv, Ukraine; Novosel, M., S. Kuznets Kharkiv National University of Economics, Economic Cybernetics Department, Kharkiv, Ukraine; Poluektova, N., V.I. Vernadsky Crimean Federal University, Academy of Bioresources and Nature Management, Department of System Analysis and Informatization, Simferopol, Russian Federation; Gvozdytskyi, V., S. Kuznets Kharkiv National University of Economics, Economic Cybernetics Department, Kharkiv, Ukraine","The paper is devoted to a methodological approach to the forming of a model basis of estimation of a systemic risk in the banking sector, which is based on multivariate analysis methods, panel data and graph theory. The proposed approach includes the following blocks: forecasting the indicators of prudential regulation at the level of the banking system as a whole; estimation of the risk of loss of systemic stability by the banking sector; grouping of banks by level of financial security; estimation of the risk of default of large financial institutions; forming and analysis of scenarios of reactions of indicators of banks financial security to the impact of external 'shocks'; network risk assessment. The proposed approach and model basis can be considered as a decision support tool for assessing the stability of the banking sector to the effects of 'shocks' and as the tool of forming of a preventive financial stabilization policy. © 2020 IEEE.",banking sector; estimation; graph theory; model; multivariate analysis; panel data; systemic risk,Banking; Computation theory; Decision support systems; Graph theory; Intelligent computing; Multivariant analysis; Risk perception; Stabilization; Systems analysis; Banking sectors; Banking systems; Decision support tools; Financial institution; Financial security; Methodological approach; Multivariate analysis methods; Stabilization policies; Risk assessment,,,Institute of Electrical and Electronics Engineers Inc.,,9781728190822,,,English,"IEEE Int. Conf. Syst. Anal. Intell. Comput., SAIC",Conference Paper,Final,,Scopus,2-s2.0-85097157989,scopus
"Angilella S., Mazzù S.",6507665872;55589232000;,Assessing global systemically important banks and implications for entrepreneurship: a hierarchy stochastic multicriteria acceptability analysis,2020,Management Decision,58,11,,2387,2415,,4.0,10.1108/MD-09-2019-1139,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092584272&doi=10.1108%2fMD-09-2019-1139&partnerID=40&md5=fdec4b3c68dffa7b36b5ed6abcb54006,"Department of Economics and Business, University of Catania, Catania, Italy","Angilella, S., Department of Economics and Business, University of Catania, Catania, Italy; Mazzù, S., Department of Economics and Business, University of Catania, Catania, Italy","Purpose: The financial crisis of 2007–2008 has brought critical attention to those financial institutions whose high destabilizing effects can have an impact on the financial system. Basel Committee (BIS) has introduced a set of regulations to identify such banks, defined global systemically important banks (G-SIBs). The purpose of this paper is to investigate the robustness of the BIS's methodology. Design/methodology/approach: In this study, a multicriteria decision aid (MCDA) approach is considered, specifically HSMAA (hierarchy stochastic multiobjective acceptability analysis), which can take into account uncertainty on BIS's criteria weights as standard SMAA, but also uncertainty with respect to the subcriteria of the considered criteria. The results are analyzed to provide insights into the robustness of the BIS's methodology. Findings: The obtained results indicate that overall the BIS's methodology does not appear robust. Within the two uncertainty scenarios considered, the results show a great variability in identifying the G-SIBs' systemic risk. Originality/value: The paper proposes an analytical way to assess the robustness of the BIS's methodology. Moreover, the authors’ analysis reveals a great variability on the results, which highlight different issues for banks, regulators and enterprises. © 2020, Emerald Publishing Limited.",Banking supervision; Entrepreneurship; Global systemically important banks; Hierarchy stochastic multicriteria acceptability analysis; Multiple criteria decision aiding; Policymaking,,"Angilella, S.; Department of Economics and Business, Italy; email: silvia.angilella@unict.it",,Emerald Group Holdings Ltd.,00251747,,,,English,Manage. Decis.,Article,Final,,Scopus,2-s2.0-85092584272,scopus
Soramäki K.,16054054300;,"Computational models of financial networks, risk, and regulatory policies",2018,The Oxford Handbook of Computational Economics and Finance,,,,420,440,,,10.1093/oxfordhb/9780199844371.013.16,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052952370&doi=10.1093%2foxfordhb%2f9780199844371.013.16&partnerID=40&md5=c86dae7611e32a084286e00e0842da39,"Financial Network Analytics, London, United Kingdom","Soramäki, K., Financial Network Analytics, London, United Kingdom","This chapter introduces the concept of financial networks and reviews research in three of the most active research areas of financial systems: interbank payment networks, interbank exposure networks, and asset correlation networks. The financial crisis of 2007-2008 revealed the intertwined nature of modern financial systems. A promising methodology for capturing and modeling connections in the financial system is provided by network theory. The intricate structure of linkages between financial institutions, among sectors of the economy, and across financial systems can conveniently be captured by using a network representation. Empirical research on describing existing networks is presented, as well as new modeling and simulation approaches for financial risk that take into account the complex structure of financial markets and infrastructures. © Oxford University Press 2018. All rights reserved.",Complex networks; Correlation networks; Financial networks; Financial stability; Market risk; Network science; Systemic risk,Computation theory; Computational model; Empirical research; Financial institution; Financial networks; Intricate structures; Model and simulation; Network representation; Regulatory policies; Finance,"Soramäki, K.; Financial Network AnalyticsUnited Kingdom",,Oxford University Press,,9780199844371,,,English,The Oxf. Handb. of Comput. Econ. and Financ.,Book Chapter,Final,,Scopus,2-s2.0-85052952370,scopus
"Zhu C., Hua G.",57208625647;57208619236;,The impact of China’s Internet Finance on the banking systemic risk–an empirical study based on the SCCA model and stepwise regression,2020,Applied Economics Letters,27,4,,267,274,,11.0,10.1080/13504851.2019.1613494,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065294479&doi=10.1080%2f13504851.2019.1613494&partnerID=40&md5=97038addcb3e855e75db7f2dab63136a,"School of Finance, Nanjing University of Finance and Economics, Nanjing, Jiangsu, China; Department of Finance, College of Business, Florida International University, Miami, FL, United States; Business School, Jiangsu Normal University, Xuzhou, Jiangsu, China","Zhu, C., School of Finance, Nanjing University of Finance and Economics, Nanjing, Jiangsu, China, Department of Finance, College of Business, Florida International University, Miami, FL, United States; Hua, G., Business School, Jiangsu Normal University, Xuzhou, Jiangsu, China","The disorderly development of Internet Finance impacts both the banking industry and the macroeconomy and opens a risk contagion channel, which easily generates the banking systemic risk. Based on current banking systemic risk measured by Systemic Contingent Claims Analysis (SCCA) model and a stepwise regression, we verify the impacts of China’s Internet Finance on the banking industry and predict that the risk will rise in the future. © 2019, © 2019 Informa UK Limited, trading as Taylor & Francis Group.",Internet Finance; risk prediction; SCCA model; stepwise regression method; the banking systemic risk,banking; empirical analysis; finance; Internet; numerical model; prediction; regression analysis; risk assessment; China,"Zhu, C.; School of Finance, China; email: 4ever_cc@163.com",,Routledge,13504851,,,,English,Appl. Econ. Lett.,Article,Final,,Scopus,2-s2.0-85065294479,scopus
"Jylhä P., Lof M.",36623118200;55257817900;,Mind the Basel gap,2022,"Journal of International Financial Markets, Institutions and Money",79,,101605,,,,1.0,10.1016/j.intfin.2022.101605,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133272052&doi=10.1016%2fj.intfin.2022.101605&partnerID=40&md5=42f2bcee7633636e7be1506eebdf2354,"Aalto University School of Business., P.O. Box 21210, Aalto, 00076, Finland","Jylhä, P., Aalto University School of Business., P.O. Box 21210, Aalto, 00076, Finland; Lof, M., Aalto University School of Business., P.O. Box 21210, Aalto, 00076, Finland","The Basel credit gap, the difference between a country's credit-to-GDP ratio and its estimated long-term trend, is used as a basis for setting countercyclical capital buffers under the Basel III regulatory framework. Using international data from the BIS, we show that the Basel credit gap, estimated by a one-sided HP filter, is nearly equivalent to a naive 16-quarter change in the credit-to-GDP ratio and performs equally well in terms of predicting banking crises. We demonstrate that the near-equivalence between deviations from trend and simple changes occurs when the one-sided HP filter is applied to a unit-root process. The goal of this paper is not to evaluate the performance of the Basel credit gap as an early-warning-indicator, but rather to demonstrate that its estimation method is unnecessarily complicated. © 2022 The Author(s)",Credit gap; One-sided Hodrick–Prescott filter; Systemic risk,,"Lof, M.; Aalto University School of Business., P.O. Box 21210, Finland; email: matthijs.lof@aalto.fi",,Elsevier Ltd,10424431,,,,English,J. Int. Financ. Mark. Inst. Money,Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85133272052,scopus
"Buse R., Schienle M., Urban J.",57204433249;55547391200;56447939100;,Assessing the impact of policy and regulation interventions in European sovereign credit risk networks: What worked best?,2022,Journal of International Economics,139,,103673,,,,,10.1016/j.jinteco.2022.103673,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136110229&doi=10.1016%2fj.jinteco.2022.103673&partnerID=40&md5=466371499d69010b4eab80d48a9bcd4b,"Karlsruher Institut für Technologie, Karlsruhe, Germany; University of Basel, Basel, Switzerland","Buse, R., Karlsruher Institut für Technologie, Karlsruhe, Germany; Schienle, M., Karlsruher Institut für Technologie, Karlsruhe, Germany; Urban, J., University of Basel, Basel, Switzerland","We study the impact of changes in regulations and policy interventions on systemic risk among European sovereign entities measured as volatility spillovers in credit risk markets. With our unique intraday CDS dataset, the effectiveness of closely subsequent events can be assessed, and interventions with significant changes in network cross-effects can be discerned by appropriate bootstrap confidence intervals. We show that it was mainly regulatory changes such as the ban of trading naked sovereign CDS in 2012 as well as the new ISDA regulations in 2014 which were most effective in reducing systemic risk. In comparison, the effect of policy interventions was minor and generally not sustainable. Their impact was only significant when they were implemented for the first time and targeted more than one country. For the volatility spillover channels, we generally find balanced networks with no fragmentation over time. © 2022 Elsevier B.V.",Bootstrap spillover-measures; Financial crises; Financial stability and systemic risk in the Eurozone; High-frequency CDS; Policy and regulation,bootstrapping; confidence interval; credit provision; data set; financial crisis; financial market; policy approach; policy implementation; regulatory framework; sovereignty; Europe,"Schienle, M.; Karlsruher Institut für TechnologieGermany; email: melanie.schienle@kit.edu",,Elsevier B.V.,00221996,,,,English,J. Int. Econ.,Article,Final,,Scopus,2-s2.0-85136110229,scopus
"Song L., Zhang Y.",25652249300;57217260412;,Banking network structure and transnational systemic risk contagion—The case of the European Union,2021,Finance Research Letters,39,,101660,,,,4.0,10.1016/j.frl.2020.101660,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086926718&doi=10.1016%2fj.frl.2020.101660&partnerID=40&md5=071a33ef4fb122f5f2ef412ad1cad92e,"Economics and Management School, Wuhan University, Wuhan, 430072, China","Song, L., Economics and Management School, Wuhan University, Wuhan, 430072, China; Zhang, Y., Economics and Management School, Wuhan University, Wuhan, 430072, China","This paper combines systemic contingent claims analysis with the conditional value-at-risk to construct a financial risk network, thereby providing a new method to measure the cross-risk of the banking sector among different countries. We apply this to a sample of listed banks in the European Union over the period 2007–2018. And we find that systemic risk is caused by the inherent and cross- risk. Cross- risk among countries is the dominant factor affecting systemic risk during the crisis period. In addition, the influence mechanism of risk network on the cross-risk exhibits asymmetry and displays the characteristic of “robust-yet-fragile”. © 2020 Elsevier Inc.",Cross-risk; Inherent risk; Network structure; Systemic contingent claims analysis,,"Song, L.; Economics and Management School, China; email: songlingfeng@whu.edu.cn",,Elsevier Ltd,15446123,,,,English,Finan. Res. Lett.,Article,Final,,Scopus,2-s2.0-85086926718,scopus
[No author name available],[No author id available],Feeding the sendai S&T road map on capacity development and resilience,2021,Science and Diplomacy: Negotiating Essential Alliances,,,,111,120,,,10.1007/978-3-030-60414-1_10,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149056959&doi=10.1007%2f978-3-030-60414-1_10&partnerID=40&md5=016c02d0b671a89ef6450445b54aac28,,,"The complexity and interdependence of natural hazard in specific environment combined with human man-made errors is what makes many disasters particularly dangerous and spread throughout communities, societies, environments, and economies increasing potential risks. International community should carry on working (at organizational level) on capacity building with multidimensional and multidisciplinary methodologies, implementing cohesive, coherent, integrated, and coordinated comprehensive approaches. We live in a multi-hazard era of systemic risk. Actions aiming at reducing the risk of cascading disasters involve complex processes and should be studied and researched as a whole as they cannot be analysed as isolated, randomly assessed actions within development processes. Internationalization of risk and crisis is also a challenge to be undertaken along with the psychological and physical demands of citizens. This is the only way to build, foster, and nurture sustainable resilient societies. © Springer Nature Switzerland AG 2021.",Biological threat reduction; Biosafety; Biosecurity; British Royal Society; Capacity development; CBRN; Cognitive biases; Cognitive processes; COVID-19; Crisis management; Disaster risk reduction; Emotional processes; European Commission; European Union; Global Risk Identification Program; Metacognitive functions; One Health concept; Preparedness; PTSD; Resilience; Risk assessment; Risk communication; Secure and Resilient Societies Sendai Framework; Uncertainty; UNDP,,,,Springer,,9783030604141; 9783030604134,,,English,Sci. and Dipl.: Negot. Essent. Alliances,Book Chapter,Final,,Scopus,2-s2.0-85149056959,scopus
